地铁口 精装 全明通透 高得房率 南北双阳台 换房急售 2室2厅 | 90.76㎡ | 低层 （共11层） | 东南向 | 2009年建 | 孔倩 大地伊丽雅特湾 迈皋桥-和燕路329号 满五 优质教育 距1号线晓庄站约933米 185 万 20383元/㎡
地铁口 万象旁 精装 低密度 全明通透 换房急售 4室2厅 | 142.77㎡ | 中层 （共18层） | 南北向 | 2022年建 | 孔倩 万象天地·四季 迈皋桥-燕子矶新城栖霞大道与经五路交汇处 满二 距7号线万寿站约556米 435 万 30468元/㎡
特价 仙林湖·保利罗兰春天·3室·2厅 双重验真 官方发布 房天下房源字典核验 3室2厅 | 88.3㎡ | 中层 （共26层） | 南北向 | 2015年建 | 孟全 保利罗兰春天 仙林-学森路199号 满五 优质教育 210 万 23782元/㎡ 低于市场价33万
保利紫晶山 洋房 豪华装修 未入住 位置好 满五无税 送车位 4室2厅 | 169.36㎡ | 中层 （共6层） | 南向 | 2012年建 | 易功瑞 保利紫晶山 仙鹤门-栖霞区马群大庄6号 满五 满五唯一 优质教育 距2号线仙鹤门站约444米 500 万 29522元/㎡
紫金山下 马群口 紫园叠加 送露台车位 低密度 安静舒适 诚 4室2厅 | 166.12㎡ | 高层 （共4层） | 南北向 | 2018年建 | 张磊 紫园 马群-栖霞马群环陵路99号 满二 优质教育 距2号线马群站约617米 515 万 31001元/㎡
特价 仙林 · 咏梅山庄 · 3室 · 2厅 双重验真 官方发布 房天下房源字典核验 3室2厅 | 103㎡ | 中层 （共5层） | 南向 | 2002年建 | 孟全 咏梅山庄 仙林-仙隐北路文苑路2号 满五 优质教育 240 万 23300元/㎡ 低于市场价27万
主城栖霞 四号线仙林湖地铁口精装三房 泷悦雅颂 3室2厅 | 89㎡ | 中层 （共18层） | 南北向 | 2023年建 | 李小朋 泷悦雅颂 仙林湖-东至现状,南至现状,西至白象路,北至广志路 距4号线仙林湖站约232米 225 万 25280元/㎡
仙林 · 栖园北区 · 4室 · 2厅 双重验真 官方发布 房天下房源字典核验 4室2厅 | 218.26㎡ | 底层 （共4层） | 南北向 | 2008年建 | 孟全 栖园小区 仙林-栖霞区仙林杉湖东路18号 满五 距2号线羊山公园站约543米 1100 万 50398元/㎡
热搜 人气 电梯花园洋房 一梯两户 金浦御龙湾 地铁1号线 3室2厅 | 106㎡ | 低层 （共7层） | 南北向 | 2018年建 | 夏菊 金浦御龙湾 迈皋桥-金浦御龙湾 满五 距1号线晓庄站约644米 368 万 34716元/㎡
特价 仙林 · 亚东城东区 · 3室 · 2厅 双重验真 官方发布 房天下房源字典核验 3室2厅 | 106.95㎡ | 中层 （共11层） | 南北向 | 2007年建 | 孟全 亚东城 仙鹤门-栖霞区仙隐北路18号 满五 距2号线仙鹤门站约770米 299 万 27956元/㎡ 低于市场价17万
特价 金浦紫御东方 77.78平3居 南北向简装修 着急出售 3室1厅 | 77.78㎡ | 低层 （共34层） | 南北向 | 2021年建 | 黄朋飞 金浦紫御东方 晓庄-经五路与太新路交汇处 满二 距1号线笆斗山站约811米 180 万 23142元/㎡ 低于市场价36万
热搜 人气 翠谷玉兰街区大花园 小房子 独栋 | 卧室：5个 | 花园：300平米 | 286㎡ | 南向 | 袁洁 新湖仙林翠谷别墅 龙潭-栖霞区句容宝华镇 满二 375 万 13111元/㎡
来电详谈国庆折扣 燕子矶地铁口精装三房 双阳台 保利国贸璟上 3室2厅 | 99㎡ | 中层 （共27层） | 南北向 | 2021年建 | 李小朋 华发·四季雅筑 晓庄-栖霞区燕子矶街道壮举路与吉祥街交汇处 距1号线八卦洲大桥南站约1064米 268 万 27070元/㎡
南京主城栖霞双地铁,兴智芯,金中金小,精装准现房,内部价 3室2厅 | 89㎡ | 中层 （共26层） | 南北向 | 2020年建 | 张国伟 苏宁世茂·璀璨云著 尧化门-南京栖霞区兴智科创新城.兴智路与恒久路交汇处 满二 165 万 18539元/㎡
降价,降价在降价,超级便宜金浦御龙湾H区 4室2厅 | 128.11㎡ | 中层 （共11层） | 南向 | 2000年建 | 夏菊 金浦御龙湾 迈皋桥-金浦御龙湾 满五 距1号线晓庄站约644米 400 万 31223元/㎡
特价 仙林湖 · 保利罗兰香谷 · 3室 · 2厅 双重验真 官方发布 房天下房源字典核验 3室2厅 | 100.47㎡ | 低层 （共18层） | 南北向 | 2014年建 | 张月红 保利罗兰香谷 仙林-南京市栖霞区学森路200号 满五 优质教育 距4号线仙林湖站约1011米 216 万 21498元/㎡ 低于市场价56万
内部特价 可住可托管 峯汇中心商场上盖口 真实价格 1室2厅 | 42㎡ | 中层 （共12层） | 南向 | 2017年建 | 廖斯敏 峯汇中心 尧化-金尧路和尧佳路交汇处 满二 距7号线尧化门站约382米 55 万 13095元/㎡
低价诚售 南外精装地暖中央空调新风系统三大件 3室2厅 | 89㎡ | 中层 （共25层） | 南向 | 2023年建 | 吴苑 山和九著府 栖霞-栖霞区欢乐大道与规划江南路交汇处 123 万 13820元/㎡
地铁2号线 五恒科技住宅 金中金小 4室2厅 | 120㎡ | 低层 （共18层） | 南向 | 吴苑 云樾观山府 仙林-江苏省南京市栖霞区光启路与纬地路 推荐新房 360 万 30000元/㎡
仙林干挂大理石边户大花园300平 豪装500万 精品养护。 独栋 | 卧室：5个 | 花园：300平米 | 375㎡ | 北向 | 袁洁 恒基富荟山 仙林-文鼎路1号(玄武大道与学林路交汇处) 满二 1500 万 40000元/㎡
楼层好位置好,房屋前后无遮挡,户型合格正气 3室2厅 | 98.82㎡ | 中层 （共10层） | 南北向 | 2021年建 | 孔倩 万象天地·九悦 迈皋桥-燕子矶新城栖霞大道与经五路交汇处 满二 距7号线万寿站约557米 315 万 31876元/㎡
特价 仙鹤门 · 保利紫晶山 · 4室 · 2厅 双重验真 官方发布 房天下房源字典核验 4室2厅 | 191.66㎡ | 低层 （共6层） | 南北向 | 2012年建 | 余莉莉 保利紫晶山 仙鹤门-栖霞区马群大庄6号 满五 优质教育 距2号线仙鹤门站约444米 620 万 32348元/㎡ 低于市场价104万
人气 地铁口 飞机户 人车分离 高得房率 换房急售急售 3室2厅 | 115.06㎡ | 中层 （共33层） | 南北向 | 2020年建 | 孔倩 保利国际社区 燕子矶-燕子矶街道太新路与燕园路交汇处 满二 距1号线笆斗山站约506米 269 万 23379元/㎡
经典好房子,全明户型,视野开阔,包您喜欢哟! 3室1厅 | 110.5㎡ | 高层 （共26层） | 南向 | 2021年建 | 凌晓伟 锦麟融誉府 迈皋桥-北苑东路与熙湲路交汇处 满二 距1号线晓庄站约1109米 340 万 30769元/㎡
高科荣境 178.15平5居 南北向精装修 着急出售 5室2厅 | 178.15㎡ | 底层 （共11层） | 南北向 | 2018年建 | 邓婷婷 高科荣境 仙林-守敬路313号(仙林大道与经天路交汇处) 满二 优质教育 距2号线经天路站约819米 600 万 33679元/㎡
热搜 人气 迈皋桥 双地铁 金浦御龙湾H 精装修 威能地暖诚心出售 3室1厅 | 88.7㎡ | 低层 （共20层） | 南北向 | 2018年建 | 钱俊马 金浦御龙湾 迈皋桥-金浦御龙湾 距1号线晓庄站约644米 209 万 23562元/㎡
(刚需必选} 内部房源 南京主城栖霞 龙湖翡翠上城 璀璨云著 3室2厅 | 89㎡ | 低层 （共26层） | 南北向 | 2020年建 | 李小朋 璀璨云著 栖霞-兴智科创新城兴智路与恒久路交汇处 满二 167 万 18764元/㎡
君颐东方芳泽园 不临街 未入住精装两房两卫 地暖空调 2室2厅 | 86㎡ | 中层 （共8层） | 南向 | 2018年建 | 易功瑞 银城君颐东方 马群-马群街169号(宁杭高速与规划道路交汇处) 满五 满五唯一 距2号线马群站约839米 280 万 32558元/㎡
特价 热搜 人气 拎包住!亚东城婚装自住两房有墙暖!随时看房诚心卖楼层采光好! 双重验真 官方发布 房天下房源字典核验 2室2厅 | 96.3㎡ | 中层 （共19层） | 南向 | 2009年建 | 孟全 亚东城 仙鹤门-栖霞区仙隐北路18号 满五 距2号线仙鹤门站约770米 240 万 24922元/㎡ 低于市场价37万
迈皋桥 颐和府邸A区 地铁口 宽敞明亮地段 宁静怡静 3室2厅 | 127.65㎡ | 中层 （共25层） | 南北向 | 2017年建 | 钱俊马 中电颐和府邸 迈皋桥-华电路1号(华电路与言和路交汇处) 距1号线迈皋桥站约695米 330 万 25851元/㎡
特价 仙林 · 康桥圣菲 · 1室 · 1厅 双重验真 官方发布 房天下房源字典核验 1室1厅 | 40㎡ | 中层 （共6层） | 南向 | 2007年建 | 孟全 康桥圣菲 仙林-文范路9号 满五 优质教育 距2号线学则路站约490米 100 万 25000元/㎡ 低于市场价45万
地铁口 高得房率 全明通透 换房急售 拎包入住 急售 3室2厅 | 98.51㎡ | 高层 （共23层） | 南北向 | 2020年建 | 孔倩 锦麟融誉府 迈皋桥-北苑东路与熙湲路交汇处 满二 距1号线晓庄站约1109米 269 万 27306元/㎡
新上 万达茂 御湖仕家 精装修 湖景房金中 金小双地铁 急售 4室2厅 | 129.6㎡ | 低层 （共26层） | 南向 | 2000年建 | 邓婷婷 御湖仕家 仙林-仙林大道与守敬路交汇处向东100米 满五 优质教育 距4号线仙林湖站约713米 275 万 21219元/㎡
天泓山庄 上叠有露台 景致优美 环境好 园林小区 马群 5室2厅 | 232.2㎡ | 高层 （共4层） | 南北向 | 2018年建 | 张磊 天泓山庄 马群-环陵路1号 满五 优质教育 距2号线马群站约886米 538 万 23169元/㎡
新上 电梯房 金中金小 新城香悦澜山 着急出售 南北通透 4室2厅 | 126㎡ | 低层 （共27层） | 南北向 | 2000年建 | 邓婷婷 新城香悦澜山 仙林-仙林经天路与纬地路交汇处 满五 优质教育 距2号线经天路站约1158米 300 万 23809元/㎡
特价 仙鹤门 · 钟山晶典 · 2室 · 2厅 双重验真 官方发布 房天下房源字典核验 2室2厅 | 86.28㎡ | 高层 （共11层） | 南北向 | 2007年建 | 李雪 国浩钟山晶典 仙鹤门-金马路19号 满五 距2号线金马路站约683米 195 万 22600元/㎡ 低于市场价14万
热搜 人气 保利新出大平层 业主自住 高楼层 价格可谈 随时看房有钥匙 双重验真 官方发布 房天下房源字典核验 3室2厅 | 142.2㎡ | 中层 （共6层） | 南北向 | 2010年建 | 张月红 保利紫晶山 仙鹤门-栖霞区马群大庄6号 满五 优质教育 距2号线仙鹤门站约444米 498 万 35021元/㎡
采光视野佳,采光视野好 换房急售 小区中间位置 3室1厅 | 104.22㎡ | 高层 （共18层） | 南向 | 2019年建 | 纪泽远 上铁月桂园 尧化-栖霞区尧和西路2号 满五 距7号线尧化新村站约936米 199 万 19094元/㎡
仙林 · 栖园北区 · 5室 · 2厅 双重验真 官方发布 房天下房源字典核验 5室2厅 | 153.86㎡ | 顶层 （共4层） | 南北向 | 2008年建 | 孟全 栖园小区 仙林-栖霞区仙林杉湖东路18号 满五 距2号线羊山公园站约543米 1028 万 66813元/㎡
栖霞主城 金中金小护航 精装三房 免费看房车接送 3室2厅 | 89㎡ | 低层 （共26层） | 南北向 | 2020年建 | 段伟成 苏宁世茂·璀璨云著 栖霞-兴智科创新城兴智路与恒久路交汇处 满二 160 万 17977元/㎡
高科荣境桂山堂251平豪装大平层 4室2厅 | 251㎡ | 高层 （共10层） | 南向 | 2017年建 | 袁洁 高科荣境 仙林-守敬路313号(仙林大道与经天路交汇处) 满二 优质教育 距2号线经天路站约819米 950 万 37848元/㎡
天上其实每天都在掉馅饼,这样的价格你犹豫就没了! 3室2厅 | 118.43㎡ | 高层 （共18层） | 南北向 | 2000年建 | 邓婷婷 融信世纪东方 仙林-经天路与广志路交汇处(南京大学仙林分校旁) 满五 距2号线经天路站约1057米 365 万 30819元/㎡
热搜 人气 新特价金浦御龙湾 城北正核 配套成熟 晓庄口 性价比 3室2厅 | 122㎡ | 高层 （共26层） | 南北向 | 2023年建 | 李小朋 金浦御龙湾 迈皋桥-金浦御龙湾 距1号线晓庄站约644米 260 万 21311元/㎡
特价 仙林大学城 仙龙湾山庄 电梯洋房 价格好谈 含有车位 双重验真 官方发布 房天下房源字典核验 4室2厅 | 142.62㎡ | 顶层 （共6层） | 南北向 | 2010年建 | 余莉莉 仙龙湾 仙鹤门-仙隐南路2号 满五 距2号线仙鹤门站约825米 399 万 27976元/㎡ 低于市场价107万
奥南鲁能公馆间距大光线足 满两年 诚意出售 3室2厅 | 120.72㎡ | 低层 （共31层） | 南北向 | 2018年建 | 陈小丽 栖霞鲁能公馆 尧化-新城路和翠林北路交汇处 满二 距7号线尧化门站约844米 443 万 36696元/㎡
人气 保利国际社区 115.06平3居 南向简装修 自住保养好 3室1厅 | 115.06㎡ | 低层 （共33层） | 南向 | 2021年建 | 黄朋飞 保利国际社区 燕子矶-燕子矶街道太新路与燕园路交汇处 满二 距1号线笆斗山站约506米 281 万 24422元/㎡
保利国贸璟上,主城双地铁,免费领取资料包 3室2厅 | 89㎡ | 中层 （共32层） | 南向 | 2023年建 | 段伟成 保利·国贸璟上 迈皋桥-南京市栖霞区和燕路与宜春街交汇处 距1号线晓庄站约769米 225 万 25280元/㎡
仙林湖 · 半山云邸 · 4室 · 2厅 双重验真 官方发布 房天下房源字典核验 4室2厅 | 131.89㎡ | 中层 （共7层） | 南向 | 2021年建 | 孟全 半山云邸 仙林-半山云邸 满二 580 万 43976元/㎡
天泓山庄怡山苑 300平大院子 西边户 自带两个产权车位 5室2厅 | 234.72㎡ | 底层 （共4层） | 南向 | 2019年建 | 张磊 天泓山庄 马群-环陵路1号 满二 优质教育 距2号线马群站约886米 950 万 40473元/㎡
特价 仙林 · 鸿运嘉园 · 3室 · 2厅 双重验真 官方发布 房天下房源字典核验 3室2厅 | 123㎡ | 顶层 （共10层） | 南北向 | 2011年建 | 孟全 鸿雁名居 仙林-学海路28号 满五 256 万 20813元/㎡ 低于市场价70万
燕子矶双地铁,万寿地铁口,民用水电,4.5米挑高,看房预约内 2室1厅 | 37㎡ | 低层 （共26层） | 南向 | 2019年建 | 段伟成 华发华润置地万象天地 迈皋桥-栖霞大道与经五路(燕城大道)交汇处 满二 距7号线万寿站约182米 49 万 13243元/㎡
新出精品小户型,融创玉兰公馆二期,精装修,急售 3室2厅 | 104.12㎡ | 高层 （共27层） | 南向 | 2000年建 | 黄朋飞 融创玉兰公馆 燕子矶-融创玉兰公馆 满五 距1号线笆斗山站约699米 291 万 27948元/㎡
多+幸福空间 健康生活日日上演 大地伊丽雅特湾 2室2厅 | 78.29㎡ | 高层 （共11层） | 南北向 | 2000年建 | 黄朋飞 大地伊丽雅特湾 迈皋桥-和燕路329号 满五 优质教育 距1号线晓庄站约933米 205 万 26184元/㎡
特价房金中金小 2号线 4号线 万达茂 仙林 中式精装 3室2厅 | 99㎡ | 低层 （共25层） | 南向 | 2019年建 | 李小朋 兰亭和颂 迈皋桥-兰亭和颂 距4号线仙林湖站约423米 240 万 24242元/㎡
钟山美庐5室2厅4卫 正南 满五年394平1700万业主 独栋 | 卧室：5个 | 无花园 | 394㎡ | 南向 | 张祖军 钟山美庐 仙鹤门-紫金山东麓金马路18号 满五 优质教育 距2号线金马路站约1119米 1700 万 43147元/㎡
特价 钟山晶典 精装满五年 诚售随时看房 双重验真 官方发布 房天下房源字典核验 2室1厅 | 86.56㎡ | 低层 （共11层） | 南向 | 2007年建 | 孟全 国浩钟山晶典 仙鹤门-金马路19号 满五 距2号线金马路站约683米 179 万 20679元/㎡ 低于市场价29万
特价 看房联系我 价格好谈 紧邻迈皋桥1号线地铁口 2室1厅 | 70.26㎡ | 底层 （共6层） | 南向 | 2000年建 | 夏菊 方圆绿茵 迈皋桥-华电路长营村99号 满五 优质教育 距1号线迈皋桥站约888米 153 万 21776元/㎡ 低于市场价12万
复式顶跃 超大使用面积 高得房率 南北通透 换房急售 3室2厅 | 105㎡ | 顶层 （共9层） | 南北向 | 2014年建 | 孔倩 大地伊丽雅特湾 迈皋桥-和燕路329号 满五 优质教育 距1号线晓庄站约933米 369 万 35142元/㎡
特价 仙林 · 仙鹤山庄 · 2室 · 1厅 双重验真 官方发布 房天下房源字典核验 2室1厅 | 65.18㎡ | 中层 （共6层） | 南北向 | 2002年建 | 孟全 仙鹤山庄 仙鹤门-仙隐北路4号 满五 优质教育 135 万 20711元/㎡ 低于市场价12万
报价可谈!城北燕子矶,融创玉兰公馆,精装修,南师九年制 3室2厅 | 104.12㎡ | 高层 （共27层） | 南向 | 2018年建 | 姜成 融创玉兰公馆 燕子矶-融创玉兰公馆 满二 距1号线笆斗山站约699米 286 万 27468元/㎡
特价 热搜 人气 仙林 · 亚东城东区 · 2室 · 2厅 双重验真 官方发布 房天下房源字典核验 2室2厅 | 100.38㎡ | 低层 （共18层） | 南北向 | 2007年建 | 张月红 亚东城 仙鹤门-栖霞区仙隐北路18号 满五 距2号线仙鹤门站约770米 218 万 21717元/㎡ 低于市场价74万
热搜 人气 马群 在售精装修房 诚心卖 采光 看房方便 有钥匙 3室2厅 | 102㎡ | 低层 （共14层） | 南北向 | 2018年建 | 张磊 中垠紫金观邸 马群-马群环陵路99号(马群综合换乘中心) 满二 距2号线马群站约365米 315 万 30882元/㎡
特价 燕子矶江边 仁恒品质 精装 全明通透 高得房率 换 3室2厅 | 130.64㎡ | 中层 （共11层） | 南北向 | 2022年建 | 王彩丽 仁恒公园世纪 燕子矶-燕园路37号 距1号线笆斗山站约634米 468 万 35823元/㎡ 低于市场价86万
人气 天悦花园 全新精装三房 西边户 看房方便 诚心出售 3室1厅 | 81.88㎡ | 中层 （共6层） | 南北向 | 2004年建 | 易功瑞 天悦花园 马群-马群新街89-1号 满五 满五唯一 优质教育 距2号线马群站约504米 122 万 14899元/㎡
